iter	Logloss
0	0.6290380372
1	0.5680293554
2	0.5193898224
3	0.4614955904
4	0.421812084
5	0.3843970507
6	0.3462339272
7	0.3184668942
8	0.2841444707
9	0.2666918178
10	0.2510502797
11	0.2362119264
12	0.2208314094
13	0.2083959148114	0.196747008
15	0.1905046977
16	0.1838134963
17	0.1742938179
18	0.167210744
19	0.1626024285
20	0.1575221286221	0.1540461604222	0.1480049686223	0.1447369262424	0.1413104262525	0.136415915226	0.1340982374227	0.1280268611228	0.1246249288229	0.1224051231330	0.1180417216331	0.1144473097332	0.1118090626333	0.1090740073434	0.1070772033535	0.1052598203636	0.1040795023737	0.1029705413838	0.1021732003939	0.1014774284040	0.1001445384141	0.09907497244242	0.0982759643	043	0.09769294879
44	0.0970545	0.1045	0.0946	0.108046	0.0947	0.106947	0.0948	0.1064448	0.049	0.10600849	50	0.1051623705051	0.1044425777552	0.1031315209
53	0.1026896098
54	0.1022745707
55	0.1017556821
56	0.1014348036
57	0.101155103
58	0.1006773147
59	0.1003920538
60	0.1000880576
61	0.09982841563
62	0.09960021222
63	0.09940393508
64	0.09884672116
65	0.09838000421
66	0.09786162409
67	0.09751401897
68	0.09711670784
69	0.09691705292
70	0.09669708418
71	0.09650898286
72	0.09633975514
73	0.09612102743
74	0.0958520275
75	0.09534684497
76	0.09501210916
77	0.09455425615
78	0.09440908083
79	0.09426249026
80	0.09410852445
81	0.0939817483
82	0.09384614754
83	0.09355558495
84	0.0928130943
85	0.09268593268
86	0.09258541713
87	0.09248468061
88	0.09172486209
89	0.09160760415
90	0.0989	0.0780091	0.0990	0.0778592	0.0991	0.0776993	0.0992	0.077594	0.09093	0.077295	0.09094	0.07696	0.090595	0.07697	0.090396	0.098	0.08998297	0.099	0.08990798	0.0100	0.0897799	0.07522073313
100	0.07507746418
101	0.07496514087
102	0.07480522089
103	0.07469402196
104	0.07455880705
105	0.07436000043
106	0.07418187636
107	0.07405145286
108	0.07390846899
109	0.07378675177
110	0.07360538217
111	0.07349784319
112	0.07328457866
113	0.07266364597
114	0.07251480648
115	0.07241420673
116	0.07217708429
117	0.07203564924
118	0.07189263401
119	0.07178964417
120	0.07144558389
121	0.07129914441
122	0.07115944956
123	0.0709516318
124	0.07074605452
125	0.07054613523
126	0.07035195942
127	0.0700998295
128	0.06992878784
129	0.06974004664
130	0.06958313269
131	0.06943047506
132	0.06922307732
133	0.06909665694
134	0.0689673704
135	0.06874571789
136	0.0685601881
137	0.0684396375
138	0.06831306558
139	0.06815840308
140	0.06793957012
141	0.06779598056
142	0.06766011997
143	0.06755349259
144	0.06740900174
145	0.06727838797
146	0.06714991982
147	0.06696342802
148	0.06682746187
149	0.06668649938
150	0.06654721696
151	0.06642435119
152	0.06625219751
153	0.0660818653
154	0.06597362315
155	0.06584426016
156	0.06572178384
157	0.06560793533
158	0.06550371805
159	0.0653296814
160	0.06515305946
161	0.06504053077
162	0.06490491237
163	0.0647730178
164	0.06465000955
165	0.06453052044
166	0.06439213673
167	0.06428950381
168	0.06416276437
169	0.064171	0.080170	0.06172	0.0799171	0.06378276665
172	0.06365631127
